,number,datetime,overview,description,temperature,humidity,wind_speed,clouds
0,1,2019-02-22 11:00:00,Clouds,broken clouds,286.0,76.0,3.0,75.0
1,2,2019-02-22 11:00:00,Clouds,broken clouds,286.0,76.0,3.0,75.0
2,3,2019-02-22 11:00:00,Clouds,broken clouds,286.0,76.0,3.0,75.0
3,4,2019-02-22 12:00:00,Clouds,broken clouds,287.0,66.0,4.0,75.0
4,5,2019-02-25 14:30:00,Clouds,broken clouds,286.0,62.0,4.0,75.0
5,6,2019-02-25 14:30:00,Clouds,broken clouds,286.0,62.0,4.0,75.0
6,7,2019-02-25 15:00:00,Clouds,broken clouds,286.0,71.0,4.0,75.0
7,8,2019-02-25 15:30:00,Clouds,broken clouds,286.0,71.0,3.0,75.0
8,9,2019-02-25 16:00:00,Clouds,broken clouds,286.0,76.0,4.0,75.0
9,10,2019-02-25 16:30:00,Clouds,broken clouds,285.0,76.0,2.0,75.0
10,11,2019-02-25 17:48:51,Clouds,broken clouds,284.0,81.0,3.0,75.0
11,12,2019-02-25 18:23:35,Clouds,broken clouds,283.0,81.0,2.0,75.0
12,13,2019-02-25 18:53:49,Clouds,broken clouds,281.0,93.0,2.0,75.0
13,14,2019-02-25 19:22:50,Clouds,broken clouds,281.0,93.0,2.0,75.0
14,15,2019-02-25 19:48:48,Clouds,scattered clouds,281.0,87.0,2.0,40.0
15,16,2019-02-25 20:23:34,Clouds,scattered clouds,280.0,81.0,4.0,40.0
16,17,2019-02-25 20:53:46,Clouds,scattered clouds,280.0,81.0,3.0,40.0
17,18,2019-02-25 21:18:44,Clouds,scattered clouds,280.0,81.0,3.0,40.0
18,19,2019-02-25 21:48:43,Clouds,scattered clouds,279.0,70.0,3.0,40.0
19,20,2019-02-25 22:23:37,Clouds,scattered clouds,279.0,86.0,3.0,40.0
20,21,2019-02-25 22:53:37,Clouds,few clouds,279.0,93.0,1.0,20.0
21,22,2019-02-25 23:24:14,Clouds,few clouds,278.0,93.0,1.0,20.0
22,23,2019-02-25 23:48:45,Clouds,few clouds,278.0,80.0,2.0,20.0
23,24,2019-02-26 00:18:37,Clouds,few clouds,279.0,81.0,1.0,20.0
24,25,2019-02-26 00:53:38,Clouds,few clouds,278.0,86.0,1.0,20.0
25,26,2019-02-26 01:18:39,Clouds,few clouds,278.0,86.0,1.0,20.0
26,27,2019-02-26 01:52:48,Clouds,few clouds,277.0,99.0,1.0,20.0
27,28,2019-02-26 02:18:48,Clouds,few clouds,276.0,99.0,1.0,20.0
28,29,2019-02-26 02:48:35,Clouds,few clouds,276.0,99.0,2.0,20.0
29,30,2019-02-26 03:18:45,Clouds,few clouds,276.0,99.0,1.0,20.0
30,31,2019-02-26 03:52:55,Clouds,few clouds,276.0,99.0,1.0,20.0
31,32,2019-02-26 04:18:47,Clouds,few clouds,275.0,93.0,2.0,20.0
32,33,2019-02-26 04:48:46,Clouds,few clouds,275.0,99.99,2.0,20.0
33,34,2019-02-26 05:23:50,Clouds,few clouds,275.0,99.99,2.0,20.0
34,35,2019-02-26 05:48:53,Clouds,few clouds,275.0,99.99,2.0,20.0
35,36,2019-02-26 06:22:55,Clouds,few clouds,274.0,99.99,3.0,20.0
36,37,2019-02-26 06:53:33,Clouds,few clouds,274.0,99.99,2.0,20.0
37,38,2019-02-26 07:22:53,Clouds,few clouds,274.0,99.99,2.0,20.0
38,39,2019-02-26 07:48:38,Clouds,few clouds,275.0,99.99,2.0,20.0
39,40,2019-02-26 08:18:36,Clouds,few clouds,275.0,92.0,1.0,20.0
40,41,2019-02-26 08:53:54,Clouds,few clouds,277.0,99.99,2.0,20.0
41,42,2019-02-26 09:23:35,Clouds,few clouds,279.0,87.0,1.0,20.0
42,43,2019-02-26 09:52:51,Clouds,few clouds,280.0,87.0,1.0,20.0
43,44,2019-02-26 10:23:42,Clouds,few clouds,281.0,81.0,2.0,20.0
44,45,2019-02-26 10:48:36,Clouds,few clouds,283.0,76.0,2.0,20.0
45,46,2019-02-26 11:22:53,Clouds,few clouds,284.0,66.0,3.0,20.0
46,47,2019-02-26 11:53:46,Clouds,few clouds,285.0,54.0,2.0,20.0
47,48,2019-02-26 12:18:52,Clouds,few clouds,286.0,50.0,2.0,20.0
48,49,2019-02-26 12:52:48,Clouds,few clouds,287.0,47.0,3.0,20.0
49,50,2019-02-26 13:18:38,Clouds,few clouds,287.0,47.0,3.0,20.0
50,51,2019-02-26 13:48:41,Clouds,few clouds,287.0,50.0,2.0,20.0
51,52,2019-02-26 14:22:48,Clouds,few clouds,287.0,58.0,3.0,20.0
52,53,2019-02-26 14:52:47,Clouds,few clouds,288.0,62.0,4.0,20.0
53,54,2019-02-26 15:18:49,Clouds,few clouds,287.0,54.0,4.0,20.0
54,55,2019-02-26 15:53:53,Clear,clear sky,287.0,58.0,4.0,0.0
55,56,2019-02-26 16:23:32,Clear,clear sky,287.0,58.0,4.0,0.0
56,57,2019-02-26 16:48:49,Clear,clear sky,286.0,62.0,4.0,0.0
57,58,2019-02-26 17:23:01,Clear,clear sky,285.0,62.0,4.0,0.0
58,59,2019-02-26 17:53:53,Clear,clear sky,284.0,62.0,4.0,0.0
59,60,2019-02-26 18:18:43,Clear,clear sky,284.0,66.0,3.0,0.0
60,61,2019-02-26 18:53:40,Clear,clear sky,282.0,66.0,3.0,0.0
61,62,2019-02-26 19:23:47,Clear,clear sky,280.0,81.0,1.0,0.0
62,63,2019-02-26 19:48:38,Clear,clear sky,280.0,81.0,1.0,0.0
63,64,2019-02-26 20:22:50,Clear,clear sky,281.0,70.0,1.0,0.0
64,65,2019-02-26 20:53:44,Clear,clear sky,280.0,65.0,1.0,0.0
65,66,2019-02-26 21:18:40,Clear,clear sky,279.0,65.0,1.0,0.0
66,67,2019-02-26 21:52:54,Clear,clear sky,278.0,75.0,2.0,0.0
67,68,2019-02-26 22:23:38,Clear,clear sky,278.0,86.0,1.0,0.0
68,69,2019-02-26 22:53:36,Clouds,few clouds,277.0,86.0,2.0,20.0
69,70,2019-02-26 23:18:40,Clouds,few clouds,277.0,86.0,0.0,20.0
70,71,2019-02-26 23:53:48,Clouds,few clouds,276.0,86.0,1.0,20.0
71,72,2019-02-27 00:23:42,Clouds,few clouds,277.0,93.0,1.0,20.0
72,73,2019-02-27 00:48:43,Clouds,few clouds,276.0,93.0,2.0,20.0
73,74,2019-02-27 01:23:39,Clouds,few clouds,277.0,93.0,1.0,20.0
74,75,2019-02-27 01:32:46,Clouds,few clouds,276.0,93.0,1.0,20.0
75,76,2019-02-27 02:23:48,Clouds,few clouds,276.0,99.99,1.0,20.0
76,77,2019-02-27 02:53:33,Clouds,few clouds,275.0,99.99,0.0,20.0
77,78,2019-02-27 03:22:46,Clouds,few clouds,275.0,99.99,0.0,20.0
78,79,2019-02-27 03:48:47,Clouds,few clouds,275.0,99.99,2.0,20.0
79,80,2019-02-27 04:23:33,Mist,mist,275.0,99.99,2.0,20.0
80,81,2019-02-27 04:48:39,Mist,mist,275.0,99.99,1.0,20.0
81,82,2019-02-27 05:18:34,Mist,mist,274.0,99.99,1.0,20.0
82,83,2019-02-27 05:52:53,Fog,fog,274.0,99.99,1.0,20.0
83,84,2019-02-27 06:18:35,Mist,mist,274.0,99.99,1.0,20.0
84,85,2019-02-27 06:48:43,Mist,mist,274.0,99.99,1.0,20.0
85,86,2019-02-27 07:18:36,Mist,mist,275.0,99.99,1.0,20.0
86,87,2019-02-27 07:48:38,Mist,mist,276.0,99.99,0.0,20.0
87,88,2019-02-27 08:18:45,Mist,mist,276.0,99.99,1.0,20.0
88,89,2019-02-27 08:53:33,Mist,mist,276.0,99.99,3.0,20.0
89,90,2019-02-27 09:23:35,Fog,fog,277.0,93.0,3.0,75.0
90,91,2019-02-27 09:48:35,Fog,fog,278.0,93.0,3.0,75.0
91,92,2019-02-27 10:18:48,Fog,fog,279.0,99.99,5.0,75.0
92,93,2019-02-27 10:53:38,Mist,mist,281.0,99.99,5.0,75.0
93,94,2019-02-27 11:18:34,Mist,mist,283.0,93.0,3.0,75.0
94,95,2019-02-27 11:52:51,Clouds,broken clouds,282.0,93.0,5.0,75.0
95,96,2019-02-27 12:18:36,Mist,mist,282.0,93.0,5.0,75.0
96,97,2019-02-27 12:48:50,Mist,mist,283.0,87.0,3.0,40.0
97,98,2019-02-27 13:18:34,Mist,mist,284.0,81.0,3.0,20.0
98,99,2019-02-27 13:48:45,Clouds,few clouds,284.0,76.0,2.0,20.0
99,100,2019-02-27 14:18:48,Clouds,few clouds,285.0,71.0,2.0,20.0
100,101,2019-02-27 14:53:47,Clouds,few clouds,285.0,71.0,2.0,20.0
101,102,2019-02-27 15:18:40,Clouds,few clouds,286.0,71.0,1.0,20.0
102,103,2019-02-27 15:48:43,Clouds,few clouds,285.0,76.0,2.0,20.0
103,104,2019-02-27 16:23:35,Clouds,few clouds,285.0,81.0,3.0,20.0
104,105,2019-02-27 16:48:35,Mist,mist,284.0,87.0,3.0,20.0
105,106,2019-02-27 17:22:56,Mist,mist,283.0,87.0,3.0,75.0
106,107,2019-02-27 17:48:45,Fog,fog,282.0,99.99,3.0,75.0
107,108,2019-02-27 18:23:53,Fog,fog,281.0,99.99,3.0,75.0
108,109,2019-02-27 18:46:40,Fog,fog,280.0,99.99,3.0,75.0
109,110,2019-02-27 19:18:45,Fog,fog,280.0,99.99,3.0,75.0
110,111,2019-02-27 19:48:39,Fog,fog,280.0,99.99,2.0,75.0
111,112,2019-02-27 20:18:47,Fog,fog,279.0,99.99,3.0,75.0
112,113,2019-02-27 20:49:16,Fog,fog,279.0,93.0,2.0,75.0
113,114,2019-02-27 21:18:52,Fog,fog,279.0,99.99,3.0,75.0
114,115,2019-02-27 21:48:42,Fog,fog,279.0,99.99,1.0,75.0
115,116,2019-02-27 22:18:44,Fog,fog,279.0,99.99,0.0,90.0
116,117,2019-02-27 22:48:39,Fog,fog,278.0,93.0,1.0,90.0
117,118,2019-02-27 23:18:38,Fog,fog,278.0,99.99,1.0,90.0
118,119,2019-02-27 23:48:36,Fog,fog,278.0,99.99,2.0,90.0
119,120,2019-02-28 00:18:42,Fog,fog,278.0,99.99,2.0,90.0
120,121,2019-02-28 00:53:42,Fog,fog,278.0,99.99,1.0,90.0
121,122,2019-02-28 01:23:50,Fog,fog,278.0,99.99,1.0,90.0
122,123,2019-02-28 01:48:38,Fog,fog,278.0,99.99,1.0,90.0
123,124,2019-02-28 02:18:42,Fog,fog,278.0,99.99,1.0,90.0
