Time               ,Weather,Description     ,Temperature,Humidity,Wind Speed,Clouds
2019-02-19 14:30:00,Rain   ,light rain      ,281.64     ,76      ,5.7       ,75

2019-02-19 14:30:00,Rain   ,light rain      ,281.64     ,76      ,5.7       ,75

2019-02-19 14:30:00,Rain   ,light rain      ,281.64     ,76      ,5.7       ,75

2019-02-19 14:30:00,Rain   ,light rain      ,281.64     ,76      ,5.7       ,75
2019-02-19 14:30:00,Rain   ,light rain      ,281.64     ,76      ,5.7       ,75
2019-02-19 14:30:00,Rain   ,light rain      ,281.64     ,76      ,5.7       ,75
2019-02-21 08:30:00,Clouds ,scattered clouds,284.64     ,81      ,5.7       ,40
2019-02-21 08:30:00,Clouds ,scattered clouds,284.64     ,81      ,5.7       ,40
2019-02-21 08:30:00,Clouds ,scattered clouds,284.64     ,81      ,5.7       ,40
2019-02-21 08:30:00,Clouds ,scattered clouds,284.64     ,81      ,5.7       ,40
2019-02-22 11:00:00,Clouds ,broken clouds   ,286.16     ,76      ,3.6       ,75
2019-02-22 11:00:00,Clouds ,broken clouds   ,286.16     ,76      ,3.6       ,75
2019-02-22 11:00:00,Clouds ,broken clouds   ,286.17     ,76      ,3.6       ,75
2019-02-22 12:00:00,Clouds ,broken clouds   ,287.16     ,66      ,4.6       ,75
